timestamp,device_id,operating_state,load_pct,temperature_c,vibration_mm_s,current_a,power_kw,energy_kwh_5min,suction_pressure_bar,discharge_pressure_bar,flow_m3_h,differential_pressure_bar,threshold_status,data_quality_flag,is_anomaly,anomaly_type,risk_level,incident_id,expected_action
2026-07-01 00:00:00,PUMP_B,running,59.92,55.14,2.379,,,,1.794,5.241,52.62,3.447,normal,ok,False,none,normal,,Rutin izlemeye devam et.
2026-07-01 00:05:00,PUMP_B,running,61.02,54.6,2.396,,,,1.9,5.286,52.84,3.386,normal,ok,False,none,normal,,Rutin izlemeye devam et.
2026-07-01 00:10:00,PUMP_B,running,60.78,55.47,2.413,,,,1.889,5.278,52.21,3.389,normal,ok,False,none,normal,,Rutin izlemeye devam et.
2026-07-01 00:15:00,PUMP_B,running,59.96,54.73,2.526,,,,1.83,5.366,53.61,3.536,normal,ok,False,none,normal,,Rutin izlemeye devam et.
2026-07-01 00:20:00,PUMP_B,running,61.49,55.91,2.537,,,,1.831,5.294,54.47,3.463,normal,ok,False,none,normal,,Rutin izlemeye devam et.
2026-07-01 00:25:00,PUMP_B,running,61.9,55.56,2.478,,,,1.817,5.495,53.25,3.677,normal,ok,False,none,normal,,Rutin izlemeye devam et.
2026-07-01 00:30:00,PUMP_B,running,63.12,56.81,2.468,,,,1.858,5.298,54.87,3.44,normal,ok,False,none,normal,,Rutin izlemeye devam et.
2026-07-01 00:35:00,PUMP_B,running,62.08,56.55,2.498,,,,1.837,5.37,54.5,3.533,normal,ok,False,none,normal,,Rutin izlemeye devam et.
2026-07-01 00:40:00,PUMP_B,running,59.45,55.04,2.416,,,,1.88,5.24,53.58,3.36,normal,ok,False,none,normal,,Rutin izlemeye devam et.
2026-07-01 00:45:00,PUMP_B,running,57.84,53.71,2.393,,,,1.902,5.203,52.88,3.301,normal,ok,False,none,normal,,Rutin izlemeye devam et.
2026-07-01 00:50:00,PUMP_B,running,65.95,56.87,2.516,,,,1.865,5.3,56.24,3.434,normal,ok,False,none,normal,,Rutin izlemeye devam et.
2026-07-01 00:55:00,PUMP_B,running,60.16,54.47,2.422,,,,1.888,5.185,53.59,3.297,normal,ok,False,none,normal,,Rutin izlemeye devam et.
2026-07-01 01:00:00,PUMP_B,running,63.71,54.79,2.454,,,,1.921,5.376,56.37,3.455,normal,ok,False,none,normal,,Rutin izlemeye devam et.
2026-07-01 01:05:00,PUMP_B,running,61.79,55.5,2.515,,,,1.882,5.244,53.44,3.362,normal,ok,False,none,normal,,Rutin izlemeye devam et.
2026-07-01 01:10:00,PUMP_B,running,62.31,56.03,2.555,,,,1.874,5.441,54.73,3.567,normal,ok,False,none,normal,,Rutin izlemeye devam et.
2026-07-01 01:15:00,PUMP_B,running,66.94,56.14,2.769,,,,1.829,5.372,55.38,3.543,normal,ok,False,none,normal,,Rutin izlemeye devam et.
2026-07-01 01:20:00,PUMP_B,running,66.49,56.67,2.609,,,,1.837,5.376,55.38,3.538,normal,ok,False,none,normal,,Rutin izlemeye devam et.
2026-07-01 01:25:00,PUMP_B,running,61.19,54.74,2.457,,,,1.838,5.225,54.65,3.387,normal,ok,False,none,normal,,Rutin izlemeye devam et.
2026-07-01 01:30:00,PUMP_B,running,57.3,55.31,2.542,,,,1.904,5.259,52.1,3.356,normal,ok,False,none,normal,,Rutin izlemeye devam et.
