timestamp,device_id,operating_state,load_pct,temperature_c,vibration_mm_s,current_a,power_kw,energy_kwh_5min,valve_command_pct,valve_position_pct,position_error_pct,upstream_pressure_bar,downstream_pressure_bar,flow_m3_h,differential_pressure_bar,threshold_status,data_quality_flag,is_anomaly,anomaly_type,risk_level,incident_id,expected_action
2026-07-01 00:00:00,VALVE_C,running,58.63,41.23,,0.628,0.1462,0.01218,66.04,66.6,0.56,5.252,4.369,53.79,0.884,normal,ok,False,none,normal,,Rutin izlemeye devam et.
2026-07-01 00:05:00,VALVE_C,running,58.53,40.76,,0.632,0.1401,0.01168,65.52,65.11,0.41,5.314,4.383,53.57,0.931,normal,ok,False,none,normal,,Rutin izlemeye devam et.
2026-07-01 00:10:00,VALVE_C,running,60.26,41.97,,0.66,0.1547,0.01289,67.94,66.98,0.97,5.317,4.427,51.67,0.89,normal,ok,False,none,normal,,Rutin izlemeye devam et.
2026-07-01 00:15:00,VALVE_C,running,60.62,42.66,,0.666,0.1495,0.01246,68.25,68.81,0.55,5.354,4.43,53.54,0.924,normal,ok,False,none,normal,,Rutin izlemeye devam et.
2026-07-01 00:20:00,VALVE_C,running,61.03,41.49,,0.655,0.1652,0.01377,68.61,69.01,0.39,5.333,4.446,54.7,0.886,normal,ok,False,none,normal,,Rutin izlemeye devam et.
2026-07-01 00:25:00,VALVE_C,running,60.65,41.14,,0.636,0.1477,0.01231,69.31,70.26,0.96,5.521,4.608,53.03,0.913,normal,ok,False,none,normal,,Rutin izlemeye devam et.
2026-07-01 00:30:00,VALVE_C,running,60.38,42.07,,0.63,0.1485,0.01237,68.32,69.04,0.72,5.308,4.37,54.74,0.939,normal,ok,False,none,normal,,Rutin izlemeye devam et.
2026-07-01 00:35:00,VALVE_C,running,59.98,41.42,,0.659,0.1486,0.01238,65.79,67.3,1.51,5.369,4.491,54.77,0.878,normal,ok,False,none,normal,,Rutin izlemeye devam et.
2026-07-01 00:40:00,VALVE_C,running,58.7,41.45,,0.642,0.1398,0.01165,66.07,66.12,0.05,5.246,4.322,53.52,0.925,normal,ok,False,none,normal,,Rutin izlemeye devam et.
2026-07-01 00:45:00,VALVE_C,running,57.91,41.36,,0.626,0.1496,0.01247,65.64,66.15,0.51,5.207,4.287,52.52,0.92,normal,ok,False,none,normal,,Rutin izlemeye devam et.
2026-07-01 00:50:00,VALVE_C,running,65.72,42.98,,0.65,0.1444,0.01203,72.67,72.6,0.08,5.335,4.474,56.31,0.861,normal,ok,False,none,normal,,Rutin izlemeye devam et.
2026-07-01 00:55:00,VALVE_C,running,60.92,42.69,,0.643,0.1426,0.01188,67.97,67.82,0.16,5.181,4.329,53.41,0.852,normal,ok,False,none,normal,,Rutin izlemeye devam et.
2026-07-01 01:00:00,VALVE_C,running,63.85,42.29,,0.64,0.1536,0.0128,71.02,70.91,0.11,5.338,4.489,56.46,0.849,normal,ok,False,none,normal,,Rutin izlemeye devam et.
2026-07-01 01:05:00,VALVE_C,running,61.09,41.59,,0.659,0.153,0.01275,67.52,66.48,1.03,5.25,4.361,53.09,0.889,normal,ok,False,none,normal,,Rutin izlemeye devam et.
2026-07-01 01:10:00,VALVE_C,running,61.79,41.45,,0.661,0.1461,0.01218,68.05,68.06,0.01,5.46,4.512,55.25,0.948,normal,ok,False,none,normal,,Rutin izlemeye devam et.
2026-07-01 01:15:00,VALVE_C,running,64.88,43.03,,0.726,0.1715,0.01429,70.77,71.21,0.44,5.399,4.576,55.96,0.823,normal,ok,False,none,normal,,Rutin izlemeye devam et.
2026-07-01 01:20:00,VALVE_C,running,66.37,42.61,,0.677,0.1614,0.01345,71.58,72.76,1.18,5.348,4.472,55.3,0.875,normal,ok,False,none,normal,,Rutin izlemeye devam et.
2026-07-01 01:25:00,VALVE_C,running,61.1,41.32,,0.698,0.1585,0.01321,68.46,66.32,2.14,5.181,4.262,54.56,0.919,normal,ok,False,none,normal,,Rutin izlemeye devam et.
2026-07-01 01:30:00,VALVE_C,running,58.81,41.91,,0.633,0.1547,0.01289,67.43,68.16,0.73,5.264,4.356,51.78,0.908,normal,ok,False,none,normal,,Rutin izlemeye devam et.
2026-07-01 01:35:00,VALVE_C,running,65.3,42.93,,0.649,0.1522,0.01268,70.35,70.5,0.15,5.418,4.553,54.8,0.864,normal,ok,False,none,normal,,Rutin izlemeye devam et.
2026-07-01 01:40:00,VALVE_C,running,64.39,42.31,,0.644,0.149,0.01242,70.66,70.5,0.16,5.313,4.462,54.98,0.851,normal,ok,False,none,normal,,Rutin izlemeye devam et.
2026-07-01 01:45:00,VALVE_C,running,68.37,42.87,,0.683,0.159,0.01325,75.28,74.06,1.21,5.422,4.55,56.81,0.872,normal,ok,False,none,normal,,Rutin izlemeye devam et.
2026-07-01 01:50:00,VALVE_C,running,66.98,42.9,,0.685,0.1574,0.01311,71.91,72.64,0.72,5.405,4.611,57.61,0.795,normal,ok,False,none,normal,,Rutin izlemeye devam et.
2026-07-01 01:55:00,VALVE_C,running,62.83,42.1,,0.641,0.1374,0.01145,70.52,69.92,0.6,5.402,4.578,54.61,0.824,normal,ok,False,none,normal,,Rutin izlemeye devam et.
2026-07-01 02:00:00,VALVE_C,running,60.81,42.24,,0.644,0.1447,0.01206,66.47,66.91,0.45,5.324,4.445,53.89,0.879,normal,ok,False,none,normal,,Rutin izlemeye devam et.
2026-07-01 02:05:00,VALVE_C,running,65.45,41.95,,0.64,0.1488,0.0124,71.92,72.13,0.21,5.316,4.468,57.98,0.849,normal,ok,False,none,normal,,Rutin izlemeye devam et.
2026-07-01 02:10:00,VALVE_C,running,62.5,41.58,,0.649,0.1491,0.01242,69.3,70.37,1.08,5.36,4.48,54.82,0.88,normal,ok,False,none,normal,,Rutin izlemeye devam et.
2026-07-01 02:15:00,VALVE_C,running,63.52,42.2,,0.633,0.147,0.01225,69.76,69.88,0.12,5.254,4.451,53.74,0.802,normal,ok,False,none,normal,,Rutin izlemeye devam et.
2026-07-01 02:20:00,VALVE_C,running,64.82,42.23,,0.673,0.1542,0.01285,69.37,69.27,0.1,5.429,4.464,55.46,0.965,normal,ok,False,none,normal,,Rutin izlemeye devam et.
2026-07-01 02:25:00,VALVE_C,running,65.07,41.75,,0.663,0.1522,0.01268,71.01,71.44,0.44,5.503,4.685,54.99,0.818,normal,ok,False,none,normal,,Rutin izlemeye devam et.
2026-07-01 02:30:00,VALVE_C,running,63.64,41.78,,0.645,0.1499,0.01249,70.37,70.18,0.19,5.259,4.377,56.12,0.882,normal,ok,False,none,normal,,Rutin izlemeye devam et.
2026-07-01 02:35:00,VALVE_C,running,65.74,42.64,,0.646,0.1491,0.01242,73.01,72.5,0.51,5.405,4.46,56.64,0.945,normal,ok,False,none,normal,,Rutin izlemeye devam et.
2026-07-01 02:40:00,VALVE_C,running,62.95,42.01,,0.668,0.1483,0.01236,69.44,70.15,0.7,5.324,4.397,53.58,0.927,normal,ok,False,none,normal,,Rutin izlemeye devam et.
2026-07-01 02:45:00,VALVE_C,running,68.19,42.67,,0.649,0.1519,0.01266,72.77,72.73,0.04,5.353,4.52,57.32,0.833,normal,ok,False,none,normal,,Rutin izlemeye devam et.
2026-07-01 02:50:00,VALVE_C,running,62.01,41.54,,0.635,0.1391,0.01159,69.48,69.82,0.34,5.175,4.287,53.18,0.888,normal,ok,False,none,normal,,Rutin izlemeye devam et.
2026-07-01 02:55:00,VALVE_C,running,64.21,42.58,,0.649,0.1484,0.01236,70.85,71.09,0.25,5.297,4.409,52.51,0.888,normal,ok,False,none,normal,,Rutin izlemeye devam et.
2026-07-01 03:00:00,VALVE_C,running,60.12,40.92,,0.636,0.1463,0.01219,67.3,68.78,1.49,5.294,4.417,53.01,0.878,normal,ok,False,none,normal,,Rutin izlemeye devam et.
2026-07-01 03:05:00,VALVE_C,running,58.52,41.61,,0.626,0.1432,0.01193,66.31,65.18,1.13,5.164,4.234,52.65,0.93,normal,ok,False,none,normal,,Rutin izlemeye devam et.
2026-07-01 03:10:00,VALVE_C,running,66.02,42.67,,0.685,0.1613,0.01344,72.43,72.85,0.42,5.391,4.473,55.27,0.918,normal,ok,False,none,normal,,Rutin izlemeye devam et.
2026-07-01 03:15:00,VALVE_C,running,63.26,41.6,,0.642,0.1551,0.01292,70.32,70.82,0.49,5.313,4.502,55.68,0.811,normal,ok,False,none,normal,,Rutin izlemeye devam et.
2026-07-01 03:20:00,VALVE_C,running,61.19,41.94,,0.663,0.148,0.01233,68.11,67.43,0.68,5.286,4.363,53.08,0.923,normal,ok,False,none,normal,,Rutin izlemeye devam et.
2026-07-01 03:25:00,VALVE_C,running,62.59,42.97,,0.645,0.1532,0.01276,68.57,68.1,0.47,5.326,4.443,55.12,0.883,normal,ok,False,none,normal,,Rutin izlemeye devam et.
2026-07-01 03:30:00,VALVE_C,running,64.51,42.07,,0.683,0.1637,0.01364,69.4,69.83,0.43,5.351,4.42,55.11,0.931,normal,ok,False,none,normal,,Rutin izlemeye devam et.
2026-07-01 03:35:00,VALVE_C,running,61.02,41.42,,0.62,0.1419,0.01183,67.53,67.67,0.14,5.282,4.373,53.77,0.909,normal,ok,False,none,normal,,Rutin izlemeye devam et.
2026-07-01 03:40:00,VALVE_C,running,63.87,42.44,,0.632,0.1504,0.01254,69.91,69.78,0.13,5.343,4.564,56.04,0.778,normal,ok,False,none,normal,,Rutin izlemeye devam et.
2026-07-01 03:45:00,VALVE_C,running,61.56,42.42,,0.63,0.1436,0.01197,69.13,69.06,0.07,5.229,4.381,52.87,0.848,normal,ok,False,none,normal,,Rutin izlemeye devam et.
2026-07-01 03:50:00,VALVE_C,running,65.2,41.81,,0.644,0.144,0.012,70.98,71.67,0.69,5.331,4.433,55.74,0.898,normal,ok,False,none,normal,,Rutin izlemeye devam et.
2026-07-01 03:55:00,VALVE_C,running,60.47,42.25,,0.698,0.157,0.01309,67.23,68.83,1.59,5.326,4.438,52.68,0.888,normal,ok,False,none,normal,,Rutin izlemeye devam et.
2026-07-01 04:00:00,VALVE_C,running,60.71,41.83,,0.657,0.1515,0.01262,66.55,66.87,0.32,5.359,4.47,53.51,0.889,normal,ok,False,none,normal,,Rutin izlemeye devam et.
2026-07-01 04:05:00,VALVE_C,running,62.11,42.15,,0.667,0.1534,0.01278,68.75,68.53,0.22,5.331,4.452,53.32,0.879,normal,ok,False,none,normal,,Rutin izlemeye devam et.
